jurisdiction_level,jurisdiction,beverage_class,abv_min,abv_max,rate_type,basis,rate_value,currency,is_control_state,effective_date,source,provenance,notes
state,NM,beer,,,excise,gallon,0.4100,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NY,spirits,,,excise,gallon,6.4400,USD,false,2026-01-01,NY DTF (tax.ny.gov),verified,statutory $1.70/liter; NYC +$0.264/liter
state,NY,wine,,,excise,gallon,0.3000,USD,false,2026-01-01,NY DTF (tax.ny.gov),verified,>24% ABV taxed per liter
state,NY,beer,,,excise,gallon,0.1400,USD,false,2026-01-01,NY DTF (tax.ny.gov),verified,NYC +$0.12/gal
state,NC,spirits,,,excise,gallon,18.2300,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,NC,wine,,,excise,gallon,1.0000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NC,beer,,,excise,gallon,0.6200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ND,spirits,,,excise,gallon,4.9300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ND,wine,,,excise,gallon,1.1700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ND,beer,,,excise,gallon,0.4300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OH,spirits,,,excise,gallon,12.3300,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,OH,wine,,,excise,gallon,0.3200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OH,beer,,,excise,gallon,0.1800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OK,spirits,,,excise,gallon,5.5600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OK,wine,,,excise,gallon,0.7200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OK,beer,,,excise,gallon,0.4000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OR,spirits,,,excise,gallon,23.7400,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,OR,wine,,,excise,gallon,0.6700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,OR,beer,,,excise,gallon,0.0800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,PA,spirits,,,excise,gallon,7.4800,USD,true,2026-01-01,PA DOR / PLCB,seed,"control: 18% Johnstown Flood tax + ~30% PLCB markup; TF $7.48 imputed, no per-gal excise"
state,PA,wine,,,excise,gallon,,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",unverified,control state — pricing unavailable to impute effective wine excise
state,PA,beer,,,excise,gallon,0.0800,USD,false,2026-01-01,PA DOR (61 Pa Code Ch.74),verified,malt beverage tax (penny a pint)
state,RI,spirits,,,excise,gallon,5.4000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,RI,wine,,,excise,gallon,1.4000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,RI,beer,,,excise,gallon,0.1200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,SC,spirits,,,excise,gallon,5.4200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,SC,wine,,,excise,gallon,1.0800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,SC,beer,,,excise,gallon,0.7700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,SD,spirits,,,excise,gallon,4.9300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,SD,wine,,,excise,gallon,1.4400,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,SD,beer,,,excise,gallon,0.2700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,TN,spirits,,,excise,gallon,4.4600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,TN,wine,,,excise,gallon,1.2700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,TN,beer,,,excise,gallon,1.2900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,TX,spirits,,,excise,gallon,2.4000,USD,false,2026-01-01,TX 16 TAC 39.2 / TABC,verified,
state,TX,wine,,,excise,gallon,0.2040,USD,false,2026-01-01,TX 16 TAC 39.2 / TABC,verified,<14%; >=14% $0.408/gal; sparkling $0.516/gal
state,TX,beer,,,excise,gallon,0.1940,USD,false,2026-01-01,TX 16 TAC 39.2 / TABC,verified,malt bev $6.00/31-gal barrel
state,UT,spirits,,,excise,gallon,16.0700,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,UT,wine,,,excise,gallon,,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",unverified,control state — pricing unavailable to impute effective wine excise
state,UT,beer,,,excise,gallon,0.4400,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,VT,spirits,,,excise,gallon,9.0600,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,VT,wine,,,excise,gallon,0.5500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,VT,beer,,,excise,gallon,0.2700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,VA,spirits,,,excise,gallon,23.4700,USD,true,2026-01-01,VA ABC (abc.virginia.gov),seed,"control: ~69% ABC markup + 20% tax; TF $23.47 imputed, no per-gal excise"
state,VA,wine,,,excise,gallon,1.5100,USD,false,2026-01-01,VA DOR / VA ABC,verified,$0.40/liter + 4% state wine tax
state,VA,beer,,,excise,gallon,0.2565,USD,false,2026-01-01,VA DOR,verified,
state,WA,spirits,,,excise,liter,3.7708,USD,false,2026-01-01,WA DOR (spirits liter tax),verified,spirits liter tax $3.7708/L + 20.5% spirits sales tax (see sales row); TF $36.68/gal = effective combined
state,WA,wine,,,excise,gallon,0.8700,USD,false,2026-01-01,WA DOR,verified,
state,WA,beer,,,excise,gallon,0.2600,USD,false,2026-01-01,WA DOR,verified,
state,WV,spirits,,,excise,gallon,8.9800,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,WV,wine,,,excise,gallon,1.0000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,WV,beer,,,excise,gallon,0.1800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,WI,spirits,,,excise,gallon,3.2500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,WI,wine,,,excise,gallon,0.2500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,WI,beer,,,excise,gallon,0.0600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,WY,spirits,,,excise,gallon,0.0000,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,WY,wine,,,excise,gallon,,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",unverified,control state — pricing unavailable to impute effective wine excise
state,WY,beer,,,excise,gallon,0.0200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
local,DC,spirits,,,excise,gallon,6.6800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
local,DC,wine,,,excise,gallon,2.0700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
local,DC,beer,,,excise,gallon,0.7900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
local,Cook County IL,spirits,,,excise,gallon,2.5000,USD,false,2026-01-01,Cook County Dept of Revenue,verified,">=20% ABV; local, stacks on IL + Chicago"
local,Cook County IL,wine,,,excise,gallon,0.2400,USD,false,2026-01-01,Cook County Dept of Revenue,verified,<=14% ABV
local,Cook County IL,beer,,,excise,gallon,0.0900,USD,false,2026-01-01,Cook County Dept of Revenue,verified,
local,Chicago IL,spirits,,,excise,gallon,2.6800,USD,false,2026-01-01,City of Chicago Liquor Tax,verified,">=20% ABV; <=14% $0.36, 14-20% $0.89; DTC->1.5% eff 2026-03-01"
local,Chicago IL,wine,,,excise,gallon,0.3600,USD,false,2026-01-01,City of Chicago Liquor Tax,verified,<=14% ABV tier
local,Chicago IL,beer,,,excise,gallon,0.2900,USD,false,2026-01-01,City of Chicago Liquor Tax,verified,
local,New York City NY,spirits,,,excise,liter,0.2640,USD,false,2026-01-01,NYC (NY DTF),verified,on top of NY state
local,New York City NY,beer,,,excise,gallon,0.1200,USD,false,2026-01-01,NYC (NY DTF),verified,on top of NY state
state,MN,all,,,sales,percent,2.5000,USD,false,2026-01-01,MN DOR (Minn Stat 295.75),verified,"liquor gross-receipts tax, in addition to excise"
